Component,Study or analysis identifier,Role in the analysis,Result,Descriptive direction,Disease count,Accessions or lines assessed (n),Met the study criterion for zero diseases (n),Met the study criterion for one disease (n),Met the study criterion for two diseases (n),Met the study criterion for three diseases (n),Favorable for one disease (n),Favorable for two or more diseases (n),Met the study criterion for exactly two diseases in three-disease comparisons (n),Candidates identified in one independent screen (n),Candidates identified in at least two independent screens (n),Candidates assessed in one independent screen (n),Scientific interpretation,Studies with more single-disease classifications (n),Studies with more multidisease classifications (n),Studies with equal counts (n),Disease-overlap finding,Exact expected mean,Expected median,"Central 95% interval, lower limit","Central 95% interval, upper limit",Lower-tail probability,Upper-tail probability,Permutation result for repeated identification,Candidates identified repeatedly for the same disease (n),Candidates identified only across different diseases (n),Expected candidates identified once (n),Expected candidates identified repeatedly (n),Observed proportion identified repeatedly,Expected proportion identified repeatedly,Proportion identified repeatedly: lower limit of central 95% permutation interval,Proportion identified repeatedly: upper limit of central 95% permutation interval,Two-sided empirical P
Disease-response pattern within an individual study,panelA_pr_2017_2018,Primary comparison,Single-disease classifications were more frequent,Single-disease classifications were more frequent,3,108,22,61,25,0,61,25,25,,,,The prespecified thresholds were applied to 108 accessions with scores for all three diseases.,,,,,,,,,,,,,,,,,,,,
Disease-response pattern within an individual study,prom_minicore_multidisease_2019,Primary comparison,Single-disease classifications were more frequent,Single-disease classifications were more frequent,3,224,53,95,62,14,95,76,62,,,,The source reports resistant and susceptible classes for 224 lines across three diseases and combines accessions and checks in the study cohort.,,,,,,,,,,,,,,,,,,,,
Disease-response pattern within an individual study,prom_senegal_seed_quality_2018_workbook,Primary comparison,Single-disease classifications were more frequent,Single-disease classifications were more frequent,2,129,58,58,13,0,58,13,,,,,"Counts for accessions measured for both diseases came from the supplementary workbook and were used in the main comparison; counts reported in the article were examined in a sensitivity analysis.",,,,,,,,,,,,,,,,,,,,
Disease-response pattern within an individual study,prom_converted_lines_anthracnose_downy_2016,Primary comparison,Single-disease classifications were more frequent,Single-disease classifications were more frequent,2,48,30,17,1,0,17,1,,,,,"The source-reported classes cover both diseases. Anthracnose required a resistant classification in both years, and the downy mildew criterion used the article's resistant or moderately resistant breeding recommendation.",,,,,,,,,,,,,,,,,,,,
Disease-response pattern within an individual study,prom_accession_anthracnose_grain_mold_2020,Primary comparison,Single-disease classifications were more frequent,Single-disease classifications were more frequent,2,47,34,13,0,0,13,0,,,,,The article identified anthracnose and grain-mold candidates among the same 47 accessions. Its two-accession treatment table is a follow-up to this cohort.,,,,,,,,,,,,,,,,,,,,
Disease-response pattern within an individual study,prom_chinese_downy_anthracnose_2007,Comparison within a selected panel,Single-disease classifications were more frequent,Single-disease classifications were more frequent,2,40,27,13,0,0,13,0,,,,,"The 40 accessions came from a panel selected after ergot screening. Anthracnose uses the reported resistant class, and the downy mildew result comprises the six accessions with the lowest infection. This comparison describes the selected panel.",,,,,,,,,,,,,,,,,,,,
Disease-response pattern within an individual study,prom_lines_long_smut_grain_mold_2017,Comparison from the same screening campaign,Single-disease classifications were more frequent,Single-disease classifications were more frequent,2,21,19,2,0,0,2,0,,,,,Bambey represents one location from the 2011 to 2012 Senegal screening campaign described by the available source and is summarized with Nioro in the sensitivity analysis.,,,,,,,,,,,,,,,,,,,,
Disease-response pattern within an individual study,prom_us_lines_long_smut_grain_mold_2018,Comparison from the same screening campaign,Single-disease classifications were more frequent,Single-disease classifications were more frequent,2,29,27,2,0,0,2,0,,,,,Nioro represents one location from the 2011 to 2012 Senegal screening campaign described by the available source and is summarized with Bambey in the sensitivity analysis.,,,,,,,,,,,,,,,,,,,,
Disease-response pattern within an individual study,ref_sharma_minicore_foliar_diseases_2012_table2_selected_subset,Comparison within a selected subset,Single-disease classifications were more frequent,Single-disease classifications were more frequent,3,38,0,34,1,3,34,4,1,,,,"Article Table 2 describes 38 accessions selected for resistance to at least one disease. The article reports 13 anthracnose-resistant accessions, the printed values yield 12, and the later workbook yields 7; the table reports all three counts for comparison.",,,,,,,,,,,,,,,,,,,,
Disease-response pattern within an individual study,prom_senegal_seed_quality_2018_article,Sensitivity comparison,Eight accessions met both disease criteria in the sensitivity analysis based on values reported in the article.,,2,158,71,79,8,0,79,8,,,,,"The article reports 81 anthracnose-resistant accessions, 14 grain-mold-resistant accessions, and 8 resistant to both among 158 accessions. Applying the documented criterion to the workbook yields 76 anthracnose classifications; the main comparison used the count of 76 from the workbook.",,,,,,,,,,,,,,,,,,,,
Disease-response pattern across the five direct comparisons,declared_multidisease_comparisons,Primary comparison,Observed overlap lay within the central 95% interval,,,556,197,244,101,14,244,115,87,,,,The observed total of 115 multidisease classifications lay within the central 95% interval of the exact fixed-margin distribution determined by the candidate counts in the five studies. The 244 single-disease and 115 multidisease classifications summarize those study populations.,5,0,0,Observed value lay within the central 95% interval,114.9840799672634,115,105,125,0.5401614321764678,0.5372078142877608,,,,,,,,,,
Repeated candidate identification across studies,reliably_identified_accessions_and_lines,Primary comparison,Repeated identification exceeded the permutation interval,,,612,,,,,,,,441,171,1335,"Among 612 candidates assessed in at least two independent screens, 441 were identified once and 171 repeatedly. The permutation expected 138 repeated identifications, with a central 95% interval from 124 to 151. A further 1,335 candidates were assessed in one independent screen. Of the 171 identified repeatedly, 78 involved the same disease and 93 involved different diseases only.",,,,,,,,,,,Repeated identification exceeded the permutation interval,78,93,504.3000969575934,137.9518441464227,0.2794117647058824,0.2147939699633841,0.1914893617021277,0.2380952380952381,0.0001999800019998
Summary of the two study questions,full_accepted_collection,Primary comparison,"Repeated identification exceeded the permutation interval, and observed disease overlap lay within the central 95% interval of the exact fixed-margin distribution.",,,,,244,,,244,115,,441,171,1335,"Repeated candidate identification exceeded the permutation interval, whereas the observed multidisease overlap in five direct comparisons lay within the central 95% interval of the exact fixed-margin distribution.",5,0,0,Observed value lay within the central 95% interval,114.9840799672634,115,105,125,0.5401614321764678,0.5372078142877608,Repeated identification exceeded the permutation interval,78,93,504.3000969575934,137.9518441464227,0.2794117647058824,0.2147939699633841,0.1914893617021277,0.2380952380952381,0.0001999800019998
