Response-comparison identifier,Source dataset identifier,Study identifier,Accessions or lines assessed (n),Accessions or lines on the Pareto front (n),Endpoints compared (n),Disease count,Endpoints compared,Use in identifying candidates,Rationale
pareto_accession_anthracnose_grain_mold_2020,prom_accession_anthracnose_grain_mold_2020,prom_accession_anthracnose_grain_mold_2020,33,3,3,2,Anthracnose; Grain mold; Germination,Used to identify candidates,"The comparison used anthracnose rating, grain-mold severity, and germination for 33 accessions with numeric combined values for all three; the two-accession treatment table supported a distinct treatment comparison."
pareto_adeyanju_stalk_rot_pathogens,ref_adeyanju_stalk_rot_2015,ref_adeyanju_stalk_rot_2015,300,3,2,2,Charcoal rot; Fusarium stalk rot,Descriptive comparison,Descriptive trade-off between the two stalk-rot pathogens using the public line numbers reported by the source.
pareto_aragaw_terefe_anthracnose_years,ref_aragaw_terefe_eastern_ethiopia_anthracnose_2024,ref_aragaw_terefe_eastern_ethiopia_anthracnose_2024,48,1,2,1,2017; 2018,Descriptive comparison,Descriptive two-year comparison across all reported germplasm roles
pareto_bambey_2017_long_smut_grain_mold,prom_lines_long_smut_grain_mold_2017,prom_lines_long_smut_grain_mold_2017,21,3,2,2,Long smut; Grain mold,Used to identify candidates,The comparison used Bambey long-smut incidence and grain-mold severity as the two objectives.
pareto_buiate_anthracnose_isolate_severity,ref_buiate_brazil_anthracnose_2009,ref_buiate_brazil_anthracnose_2009_field_screen,148,36,12,1,Isolate 01; Isolate 02; Isolate 03; Isolate 04; Isolate 05; Isolate 06; Isolate 07; Isolate 08; Isolate 09; Isolate 10; Isolate 11; Isolate 12,Descriptive comparison,Descriptive trade-off among twelve isolate-specific severity scores; all objectives concern anthracnose and use the anonymous study codes reported by the source.
pareto_china_ergot_final_inoculated_years,prom_china_ergot_2008,prom_china_ergot_2008,40,2,2,1,2005; 2006,Used to identify candidates,The comparison used final inoculated ergot percentages from 2005 and 2006; the source's water controls and earlier 10-day observations described additional treatments and time points.
pareto_converted_lines_2016_grain_mold_measurements,prom_converted_lines_grain_biodeterioration_2016,prom_converted_lines_grain_biodeterioration_2016,59,2,2,1,Field severity; Germination,Used to identify candidates,The comparison used grain-mold severity and germination as the two objectives.
pareto_ethiopia_anthracnose_locations,prom_ethiopia_anthracnose_2019,prom_ethiopia_anthracnose_2019,26,25,4,1,Isabela 2013; Mayaguez 2014; Isabela 2016; Isabela 2018,Used to identify candidates,"The comparison used measurements from Isabela in 2013, 2016, and 2018 and Mayaguez in 2014; the overall mean summarized those four location-year measurements."
pareto_ethiopia_grain_mold_endpoints,prom_ethiopia_grain_mold_2024,prom_ethiopia_grain_mold_2024,328,6,2,1,Emergence; Deterioration,Used to identify candidates,The comparison used source-reported emergence and deterioration means as the two objectives.
pareto_ethiopia_mali_2013_grain_mold_measurements,prom_ethiopia_mali_fusarium_2013,prom_ethiopia_mali_fusarium_2013,38,1,3,1,Field severity; Threshed seed severity; Germination,Used to identify candidates,"The comparison used field severity, threshed-seed severity, and germination as three objectives."
